segment_id,recording_id,gesture,prediccion
abajo_p01_s01_r006_w00,abajo_p01_s01_r006,abajo,abajo
abajo_p01_s01_r006_w01,abajo_p01_s01_r006,abajo,abajo
abajo_p01_s01_r006_w02,abajo_p01_s01_r006,abajo,abajo
abajo_p01_s01_r010_w00,abajo_p01_s01_r010,abajo,abajo
abajo_p01_s01_r010_w01,abajo_p01_s01_r010,abajo,abajo
abajo_p01_s01_r010_w02,abajo_p01_s01_r010,abajo,abajo
abajo_p01_s01_r016_w00,abajo_p01_s01_r016,abajo,abajo
abajo_p01_s01_r016_w01,abajo_p01_s01_r016,abajo,abajo
abajo_p01_s01_r016_w02,abajo_p01_s01_r016,abajo,abajo
abajo_p01_s01_r017_w00,abajo_p01_s01_r017,abajo,abajo
abajo_p01_s01_r017_w01,abajo_p01_s01_r017,abajo,abajo
abajo_p01_s01_r017_w02,abajo_p01_s01_r017,abajo,abajo
abajo_p01_s01_r019_w00,abajo_p01_s01_r019,abajo,abajo
abajo_p01_s01_r019_w01,abajo_p01_s01_r019,abajo,abajo
abajo_p01_s01_r019_w02,abajo_p01_s01_r019,abajo,abajo
abajo_p01_s01_r020_w00,abajo_p01_s01_r020,abajo,abajo
abajo_p01_s01_r020_w01,abajo_p01_s01_r020,abajo,abajo
abajo_p01_s01_r020_w02,abajo_p01_s01_r020,abajo,abajo
abajo_p01_s01_r025_w00,abajo_p01_s01_r025,abajo,abajo
abajo_p01_s01_r025_w01,abajo_p01_s01_r025,abajo,abajo
abajo_p01_s01_r025_w02,abajo_p01_s01_r025,abajo,abajo
abajo_p01_s01_r030_w00,abajo_p01_s01_r030,abajo,abajo
abajo_p01_s01_r030_w01,abajo_p01_s01_r030,abajo,abajo
abajo_p01_s01_r030_w02,abajo_p01_s01_r030,abajo,abajo
abajo_p01_s01_r031_w00,abajo_p01_s01_r031,abajo,abajo
abajo_p01_s01_r031_w01,abajo_p01_s01_r031,abajo,abajo
abajo_p01_s01_r031_w02,abajo_p01_s01_r031,abajo,abajo
abajo_p01_s01_r039_w00,abajo_p01_s01_r039,abajo,abajo
abajo_p01_s01_r039_w01,abajo_p01_s01_r039,abajo,abajo
abajo_p01_s01_r039_w02,abajo_p01_s01_r039,abajo,abajo
arriba_p01_s01_r006_w00,arriba_p01_s01_r006,arriba,arriba
arriba_p01_s01_r006_w01,arriba_p01_s01_r006,arriba,arriba
arriba_p01_s01_r006_w02,arriba_p01_s01_r006,arriba,arriba
arriba_p01_s01_r016_w00,arriba_p01_s01_r016,arriba,arriba
arriba_p01_s01_r016_w01,arriba_p01_s01_r016,arriba,arriba
arriba_p01_s01_r016_w02,arriba_p01_s01_r016,arriba,arriba
